,empty_slots,free_bikes,latitude,longitude,name,timestamp,ebikes,has_ebikes,extra.renting,extra.returning,total_bikes
23,13,1,45.56282546,-122.6747467,N Killingsworth at Albina,2023-04-22T01:56:16.410000Z,1,True,1,1,15
24,0,15,45.5286366,-122.6820195,NW Johnson at Jamison Square,2023-04-22T01:56:16.525000Z,15,True,1,1,14
25,4,8,45.5282777,-122.6766282,NW Station at Irving,2023-04-22T01:56:16.188000Z,8,True,1,1,12
26,12,2,45.53211645,-122.6986304,NW 23rd at Overton,2023-04-22T01:56:16.168000Z,2,True,1,1,14
27,15,3,45.5475928,-122.6667604,N Williams at Fremont,2023-04-22T01:56:16.148000Z,3,True,1,1,18
28,12,7,45.5027677,-122.6714408,Tilikum West at SW Moody,2023-04-22T01:56:16.379000Z,7,True,1,1,19
29,14,3,45.52914205,-122.6987028,NW Kearney at 23rd,2023-04-22T01:56:16.215000Z,3,True,1,1,18
30,15,2,45.54998583,-122.6756573,N Mississippi at Beech,2023-04-22T01:56:16.241000Z,2,True,1,1,18
31,8,4,45.55076344,-122.6668663,N Failing at Williams,2023-04-22T01:56:16.236000Z,4,True,1,1,12
32,11,1,45.54107815,-122.6769716,N Russell at Interstate,2023-04-22T01:56:16.426000Z,1,True,1,1,12
33,9,7,45.52142066,-122.6726291,SW 2nd at Pine,2023-04-22T01:56:16.520000Z,7,True,1,1,18
34,11,6,45.52279251,-122.6840124,SW Harvey Milk at Burnside,2023-04-22T01:56:16.401000Z,6,True,1,1,18
35,18,8,45.50910258,-122.6735169,SW River at Montgomery,2023-04-22T01:56:16.399000Z,8,True,1,1,27
36,11,1,45.5123205,-122.6789108,SW Market at Keller Fountain Park,2023-04-22T01:56:16.512000Z,1,True,1,1,12
37,3,0,45.50473239,-122.62528,SE 37th at Division,2023-04-22T01:56:16.483000Z,0,True,1,1,3
38,12,0,45.54830706,-122.6136768,NE 48th at Fremont,2023-04-22T01:56:16.512000Z,0,True,1,1,12
39,3,2,45.51189243,-122.6113057,SE 50th at Hawthorne,2023-04-22T01:56:16.462000Z,2,True,1,1,5
40,17,1,45.53290424,-122.68626,NW Pettygrove at 15th,2023-04-22T01:56:16.482000Z,1,True,1,1,18
41,3,0,45.52642975,-122.6347187,NE 30th at Glisan,2023-04-22T01:56:16.164000Z,0,True,1,1,3
42,2,0,45.50523618,-122.6121104,SE 49th at Division,2023-04-22T01:56:16.125000Z,0,True,1,1,3
43,2,0,45.56267617,-122.6946044,N Burrage at Killingsworth,2023-04-22T01:56:16.400000Z,0,True,1,1,3
44,9,1,45.53893649,-122.6432884,NE 22nd at Thompson (Irvington Tennis Club),2023-04-22T01:56:16.383000Z,1,True,1,1,12
45,9,8,45.5178988,-122.6600522,SE Alder at 6th,2023-04-22T01:56:16.270000Z,8,True,1,1,18
46,12,0,45.51649676,-122.6307517,SE Belmont at 33rd,2023-04-22T01:56:16.187000Z,0,True,1,1,12
47,15,3,45.51633325,-122.6566324,SE 9th at Belmont,2023-04-22T01:56:16.173000Z,3,True,1,1,18
48,10,1,45.55335313,-122.6669146,N Mason at Williams,2023-04-22T01:56:16.442000Z,1,True,1,1,12
49,12,1,45.51222277,-122.6454261,SE Hawthorne at 20th,2023-04-22T01:56:16.308000Z,1,True,1,1,13
50,1,1,45.54125782,-122.6966717,NW Nicolai at Sherlock,2023-04-22T01:56:16.424000Z,1,True,1,1,2
51,2,1,45.52643433,-122.6362449,NE 28th at Glisan,2023-04-22T01:56:16.363000Z,1,True,1,1,3
52,0,6,45.55905507,-122.6427104,NE Alberta at 22nd,2023-04-22T01:56:16.301000Z,6,True,1,1,5
53,4,1,45.55908767,-122.6407517,NE Alberta at 24th,2023-04-22T01:56:16.149000Z,1,True,1,1,5
54,12,0,45.53561394,-122.6636343,NE 2nd at Schuyler,2023-04-22T01:56:16.430000Z,0,True,1,1,12
55,7,1,45.56197102,-122.6820369,N Interstate at Willamette,2023-04-22T01:56:16.409000Z,1,True,1,1,8
56,11,4,45.49429475,-122.6719048,SW Moody at Thomas,2023-04-22T01:56:16.207000Z,4,True,1,1,15
57,6,2,45.53146071,-122.659741,NE Multnomah at Grand,2023-04-22T01:56:16.261000Z,2,True,1,1,8
58,8,0,45.53140997,-122.6574612,NE Multnomah at 9th,2023-04-22T01:56:16.140000Z,0,True,1,1,8
59,17,1,45.55645437,-122.6603794,NE Going at Grand,2023-04-22T01:56:16.355000Z,1,True,1,1,18
60,16,1,45.52440674,-122.6497686,NE Sandy at 16th,2023-04-22T01:56:16.178000Z,1,True,1,1,18
61,11,0,45.52297292,-122.6434118,NE 22nd at Burnside,2023-04-22T01:56:16.171000Z,0,True,1,1,11
62,16,0,45.50624163,-122.6633379,SE 2nd Pl at Tilikum Way,2023-04-22T01:56:16.456000Z,0,True,1,1,18
63,18,0,45.51202353,-122.6363119,SE 29th at Hawthorne,2023-04-22T01:56:16.387000Z,0,True,1,1,18
64,1,2,45.55916922,-122.6514316,NE Alberta at 14th,2023-04-22T01:56:16.502000Z,2,True,1,1,3
65,4,1,45.55913676,-122.6554307,NE Alberta at 10th,2023-04-22T01:56:16.425000Z,1,True,1,1,5
66,1,4,45.52358836,-122.6619177,NE Couch at MLK,2023-04-22T01:56:16.500000Z,4,True,1,1,6
67,14,4,45.52507854,-122.6775563,NW Broadway at Everett,2023-04-22T01:56:16.351000Z,4,True,1,1,18
68,18,0,45.5048393,-122.6296306,SE 34th at Division,2023-04-22T01:56:16.422000Z,0,True,1,1,18
69,16,2,45.50468892,-122.6345551,SE 30th at Division,2023-04-22T01:56:16.472000Z,2,True,1,1,18
70,7,3,45.51544427,-122.6846749,SW 10th at Columbia,2023-04-22T01:56:16.185000Z,3,True,1,1,11
71,7,3,45.51507401,-122.6870298,SW 12th at Clay,2023-04-22T01:56:16.228000Z,3,True,1,1,10
72,18,0,45.50971347,-122.6777159,SW Harrison at 1st,2023-04-22T01:56:16.371000Z,0,True,1,1,18
73,9,9,45.49913657,-122.6716433,SW Moody at Aerial Tram Terminal,2023-04-22T01:56:16.389000Z,9,True,1,1,18
74,8,9,45.53550403,-122.7006608,NW Thurman at 24th,2023-04-22T01:56:16.366000Z,9,True,1,1,18
75,11,3,45.53409115,-122.6949424,NW Raleigh at 21st,2023-04-22T01:56:16.195000Z,3,True,1,1,14
76,18,0,45.53083126,-122.6815957,NW Marshall at Tanner Springs Park,2023-04-22T01:56:16.221000Z,0,True,1,1,18
77,12,5,45.53080401,-122.6844227,NW 13th at Marshall,2023-04-22T01:56:16.217000Z,5,True,1,1,17
78,7,4,45.53142501,-122.6895659,NW 18th at Northrup,2023-04-22T01:56:16.208000Z,4,True,1,1,12
79,1,4,45.55902314,-122.6355462,NE Alberta at 29th/30th,2023-04-22T01:56:16.346000Z,4,True,1,1,5
80,2,1,45.56453067,-122.6305372,NE 33rd at Jarrett (Kennedy School),2023-04-22T01:56:16.248000Z,1,True,1,1,3
81,0,3,45.55568352,-122.6506644,NE 14th Pl at Prescott,2023-04-22T01:56:16.503000Z,3,True,1,1,3
82,1,4,45.54828551,-122.6508106,NE Fremont at 15th,2023-04-22T01:56:16.411000Z,4,True,1,1,6
83,3,0,45.56251948,-122.6770306,N Michigan at Killingsworth,2023-04-22T01:56:16.242000Z,0,True,1,1,3
84,14,4,45.55522233,-122.6818612,N Prescott at Interstate,2023-04-22T01:56:16.429000Z,4,True,1,1,18
85,8,3,45.52649493,-122.6416328,NE Glisan at 24th,2023-04-22T01:56:16.413000Z,3,True,1,1,12
86,11,3,45.53086696,-122.6658887,NE Wheeler at Multnomah,2023-04-22T01:56:16.364000Z,3,True,1,1,14
87,8,2,45.55458563,-122.6755413,N Mississippi at Skidmore,2023-04-22T01:56:16.511000Z,2,True,1,1,12
88,15,2,45.55941042,-122.6685226,N Vancouver at Alberta,2023-04-22T01:56:16.183000Z,2,True,1,1,18
89,16,2,45.52487653,-122.6965141,NW Everett at 22nd,2023-04-22T01:56:16.436000Z,2,True,1,1,18
90,11,0,45.53508224,-122.6505639,NE 15th at Broadway,2023-04-22T01:56:16.504000Z,0,True,1,1,12
91,16,1,45.51936283,-122.6359928,SE 29th at Stark,2023-04-22T01:56:16.441000Z,1,True,1,1,17
92,3,15,45.5033655,-122.6447314,SE Clinton at 21st,2023-04-22T01:56:16.505000Z,15,True,1,1,18
93,11,1,45.51636144,-122.6460457,SE Belmont at 20th,2023-04-22T01:56:16.481000Z,1,True,1,1,12
94,5,0,45.5627419,-122.6889932,N Killingsworth at Gay,2023-04-22T01:56:16.448000Z,0,True,1,1,5
