,ll,fsq_id,cat_id,category_name,categories,name,address,city,country,rating,popularity,price
203,"45.56282546,-122.6747467",4edd857bb6344371fa9932f6,13000,Dining and Drinking,"[{'id': 13000, 'name': 'Dining and Drinking', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Bad Habit Room,"5433 N Michigan Ave, Portland, OR 97217",Portland,US,7.2,0.9132913291329133,3.0
204,"45.56282546,-122.6747467",5cb6c3cf1a2925002599a06e,10000,Arts and Entertainment,"[{'id': 10000, 'name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13143, 'name': 'Ethiopian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ethiopian_', 'suffix': '.png'}}]",Haight Street Bar 7,"330 N Killingsworth St, Portland, OR 97217",Portland,US,,0.578970397039704,2.0
205,"45.56282546,-122.6747467",5e47ba6e0cce4562df399481,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]","McMenamins Pubs, Breweries & Historic Hotels","430 N Killingsworth St, Portland, OR 97217",Portland,US,,,
206,"45.5286366,-122.6820195",55443d9b498e1e2d82b6437c,10032,Night Club,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13011, 'name': 'Gay Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/gaybar_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Stag PDX,"317 NW Broadway, Portland, OR 97209",Portland,US,7.3,0.9905615561556156,2.0
207,"45.5286366,-122.6820195",48837e4ef964a52036511fe3,13065,Restaurant,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Deschutes Brewery Portland Public House,"210 NW 11th Ave (at NW Davis St), Portland, OR 97209",Portland,US,8.9,0.9854985498549855,2.0
208,"45.5286366,-122.6820195",5cf338548a6f17002c5c3122,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}, {'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",The Star,"1309 NW Hoyt St (NW 13th Ave), Portland, OR 97209",Portland,US,7.1,0.9785103510351035,1.0
209,"45.5286366,-122.6820195",5b4151ad3b4e00002c1c0844,13065,Restaurant,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Backwoods Brewing Company,"231 NW 11th Ave, Portland, OR 97209",Portland,US,7.2,0.9772227222722272,1.0
210,"45.5286366,-122.6820195",539a2f31498e1b0751d1b49d,13065,Restaurant,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",10 Barrel Brewing Portland,"1411 NW Flanders St (at NW 14th Ave), Portland, OR 97209",Portland,US,8.4,0.9726722672267226,2.0
211,"45.5286366,-122.6820195",4da8ef9ef7b145b36febb0d3,13022,Sports Bar,"[{'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Brix Tavern,"1338 NW Hoyt St (at NW 14th Ave), Portland, OR 97209",Portland,US,7.7,0.9722847284728473,2.0
212,"45.5286366,-122.6820195",532a3c66498e4f73bcf7fa2d,13022,Sports Bar,"[{'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}, {'id': 13026, 'name': 'BBQ Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bbqalt_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",The Fields Bar & Grill,"1139 NW 11th Ave (at NW Northrup St), Portland, OR 97209",Portland,US,7.7,0.9708345834583458,2.0
213,"45.5286366,-122.6820195",5c4b9677446ea600393207f8,13009,Cocktail Bar,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Pink Rabbit,"232 NW 12th Ave (at Everett St), Portland, OR 97209",Portland,US,7.1,0.9684718471847185,3.0
214,"45.5286366,-122.6820195",457c9814f964a5200d3f1fe3,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",Life Of Riley Tavern,"300 NW 10th Ave (at NW Everett St), Portland, OR 97209",Portland,US,6.2,0.9608585858585859,2.0
215,"45.5286366,-122.6820195",4853910df964a520ab501fe3,13009,Cocktail Bar,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Teardrop Lounge,"1015 NW Everett St (at NW 10th Ave), Portland, OR 97209",Portland,US,8.5,0.9598584858485849,2.0
216,"45.5282777,-122.6766282",40d77680f964a5205d011fe3,10001,Amusement Park,"[{'id': 10001, 'name': 'Amusement Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/themepark_', 'suffix': '.png'}}, {'id': 10003, 'name': 'Arcade', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/arcade_', 'suffix': '.png'}}]",Ground Kontrol Classic Arcade,"511 NW Couch St (btwn NW 5th & NW 6th Ave), Portland, OR 97209",Portland,US,8.8,0.9922242224222422,1.0
217,"45.5282777,-122.6766282",55443d9b498e1e2d82b6437c,10032,Night Club,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13011, 'name': 'Gay Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/gaybar_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Stag PDX,"317 NW Broadway, Portland, OR 97209",Portland,US,7.3,0.9905615561556156,2.0
218,"45.5282777,-122.6766282",5c25d58e86f4cc002cd9cb34,13011,Gay Bar,"[{'id': 13011, 'name': 'Gay Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/gaybar_', 'suffix': '.png'}}]",Silverado Nightclub,"611 NW Couch St (6th Avenue), Portland, OR 97209",Portland,US,,0.9864236423642364,2.0
