,lat,business_id,category_name,name,address,city,state,country,transactions,reviews,rating,price_scale,price,distance_4rm_bike
57,-122.6160378,Ly8E8wrBxzXQIBoE_FuxYA,Coffee & Tea,Never Coffee,"['4243 SE Belmont St', 'Ste 200', 'Portland, OR 97215']",Portland,OR,US,['delivery'],174,4.0,2,$$,205
58,-122.6160378,1JKK_kmQ6Kxc6NzhQhcAOA,Thai,Sivalai Thai Restaurant,"['4806 SE Stark St', 'Portland, OR 97215']",Portland,OR,US,"['delivery', 'pickup']",943,4.5,2,$$,356
59,-122.6160378,RDC71GRUi4KV2st0wJgKTg,Burgers,Monster Smash Burgers,"['4500 SE Stark St', 'Portland, OR 97215']",Portland,OR,US,['delivery'],56,4.5,2,$$,281
60,-122.6160378,7lZBRWIBam0oAwFFOBvBhA,Beer Gardens,Belmont Station,"['4500 SE Stark St', 'Portland, OR 97215']",Portland,OR,US,[],299,4.0,2,$$,281
61,-122.6160378,WUpk0DrN_GVZG4F6ktKtyQ,Coffee & Tea,Common Grounds Coffeehouse,"['4321 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,['delivery'],167,4.0,1,$,495
62,-122.6160378,Wv1A_nvyUuMEThZFuqLyvg,Vegetarian,The Whole Bowl,"['4409 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,"['delivery', 'pickup']",275,4.5,1,$,481
63,-122.6160378,tx4d026qUXW-RkxIhlunLw,Juice Bars & Smoothies,Kure Juice Bar,"['4409 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,"['delivery', 'pickup']",251,4.5,1,$,497
64,-122.6233971,xsUx_xE6pkF93CSHiO8oLQ,Pizza,Gladstone Street Pizza,"['3813 SE Gladstone St', 'Portland, OR 97202']",Portland,OR,US,['delivery'],218,4.0,2,$$,22
65,-122.6233971,AEbmAWffyETa2NHjpRw3_A,American (Traditional),Gladstone Street Pub - The Stone,"['3737 SE Gladstone St', 'Portland, OR 97202']",Portland,OR,US,[],102,4.0,1,$,36
66,-122.6233971,L7RSZBnq8mdQ3xqFit_y3w,Ramen,Hapa PDX,"['3848 SE Gladstone St', 'Portland, OR 97202']",Portland,OR,US,['delivery'],93,4.0,2,$$,48
67,-122.6233971,TANFAbW6xgZkBuC4sbQs6w,Pizza,Saint Pizza Lounge,"['3813 SE Gladstone St', 'Portland, OR 97202']",Portland,OR,US,[],40,4.5,2,$$,22
68,-122.6233971,PdSAZ8Z9yGBTZr2_E13cGg,Breakfast & Brunch,Cafe Rowan,"['4437 SE Cesar E Chavez Blvd', 'Portland, OR 97202']",Portland,OR,US,['delivery'],204,4.5,2,$$,311
69,-122.6233971,BvpABPKyg0w54Xnrt_Ifrg,Coffee & Tea,Keeper Coffee,"['4515 SE 41st', 'Portland, OR 97202']",Portland,OR,US,['delivery'],91,5.0,2,$$,458
70,-122.6233971,QAnr9-jRd9lqSsE6Nb5WNA,Italian,DeNicola's Restaurant,"['3520 SE Powell Blvd', 'Portland, OR 97202']",Portland,OR,US,"['delivery', 'pickup']",387,3.5,2,$$,542
71,-122.6233971,lQnd1pwc1JdqYPn4N1Y3rA,Food Trucks,Bark City BBQ,"['3582 SE Powell Blvd', 'Portland, OR 97202']",Portland,OR,US,['delivery'],106,4.5,2,$$,437
72,-122.6233971,DgJSDdnPOvLCCyuryIh-3Q,Southern,Matt & Memere's,"['3582 SE Powell Blvd', 'Portland, OR 97202']",Portland,OR,US,"['delivery', 'pickup']",52,4.5,1,$,438
73,-122.6233971,9mSy645-KCpjdR2Mpl6wIQ,Coffee & Tea,Coffee Beer,"['4142 SE 42nd Ave', 'Portland, OR 97206']",Portland,OR,US,['delivery'],60,4.5,2,$$,367
74,-122.6233971,fBakj5HdIJMLcEC2b8lNTw,Mexican,Tecos Mexican Restaurant,"['4132 SE Powell Blvd', 'Portland, OR 97202']",Portland,OR,US,"['delivery', 'pickup']",136,3.5,1,$,552
75,-122.6233971,Ims179nmtvO0qV4lC3iVBA,Donuts,Sesame Donuts,"['4102 SE Powell Blvd', 'Portland, OR 97202']",Portland,OR,US,[],20,4.0,1,$,514
76,-122.6233971,2yDk3cEj2COUt2dCN58e-Q,Coffee & Tea,Starbucks,"['3623 SE Powell Blvd', 'Portland, OR 97202']",Portland,OR,US,['delivery'],42,3.0,2,$$,480
77,-122.6535398,FZcBqffMCNRViskfh6eCNQ,Breakfast & Brunch,Pine State Biscuits,"['1100 SE Division St', 'Ste 100', 'Portland, OR 97202']",Portland,OR,US,"['delivery', 'pickup']",1289,4.5,2,$$,231
78,-122.6535398,1VKmliv6tfXmM-X6c7e6Dg,Pizza,Virtuous Pie,"['1126 SE Division St', 'Portland, OR 97202']",Portland,OR,US,['delivery'],398,4.5,2,$$,212
79,-122.6535398,Xph7Vfqxyjyynr-aE06fMg,Cocktail Bars,Palomar,"['959 SE Division St', 'Portland, OR 97214']",Portland,OR,US,['delivery'],212,4.5,2,$$,359
80,-122.6535398,JTNfXNofJDYI67VC62aEiQ,Sandwiches,Double Dragon,"['1235 SE Division St', 'Portland, OR 97214']",Portland,OR,US,"['delivery', 'pickup']",480,4.0,2,$$,242
81,-122.6535398,HkVKHDwcKOSFWogsV0CJMg,Barbeque,Botto's BBQ,"['3120 SE Milwaukie Ave', 'Portland, OR 97202']",Portland,OR,US,['delivery'],146,5.0,2,$$,268
82,-122.6535398,7b9FxHuXKEd7krK4TZ-ycg,African,Akadi PDX,"['1001 SE Division', 'Unit 2', 'Portland, OR 97202']",Portland,OR,US,"['delivery', 'pickup']",236,4.5,2,$$,290
83,-122.6535398,7JAIkahpD29re03WdgpunQ,Sandwiches,The Baker's Mark,"['1126 SE Division St', 'Ste 180', 'Portland, OR 97202']",Portland,OR,US,['delivery'],256,4.5,1,$,188
