,latitude,longitude,name,empty_slots,free_bikes,extra.renting,extra.returning,ebikes,total_bikes
190,45.51184309,-122.68372,SW Broadway at Smith Memorial Student Union,21,2,1,1,2,23
191,45.5886277,-122.7157775,N Trenton at N Newman,7,2,1,1,2,9
192,45.5239729,-122.6932457,NW 20th Pl (Fred Meyer),15,3,1,1,3,18
193,45.5168809,-122.537776,SE 122nd at Morrison St,8,0,1,1,0,8
194,45.5868448,-122.7591351,N Pittsburg at N Crawford,2,7,1,1,7,9
195,45.5338491,-122.5470577,NE 112th at NE Weidler St,2,0,1,1,0,3
196,45.5220396,-122.537573,SE 122nd at Burnside,4,0,1,1,0,4
197,45.5591179,-122.6535114,NE Alberta at 12th,5,0,1,1,0,5
198,45.5510308,-122.5814223,NE Failing St at 79th Ave,4,3,1,1,3,7
199,45.5257231,-122.6854375,NW Flanders at 14th Ave,5,3,1,1,3,10
200,45.52556242,-122.6892561,NW 18th at Flanders,12,6,1,1,6,18
201,45.5625479,-122.6848349,N Concord Ave at Killingsworth St,4,1,1,1,1,5
202,45.52871176,-122.674166,NW Naito at Ironside,5,4,1,1,4,9
203,45.5264482,-122.583548,NE 78th at Glisan,3,2,1,1,2,6
204,45.50509011,-122.57900777,SE Division at 82nd,5,2,1,1,2,7
205,45.5935627,-122.7354239,N Midway at Fessenden St,8,1,1,1,1,9
206,45.5190613,-122.5584874,SE Stark at 102nd,4,1,1,1,1,6
207,45.5337829,-122.5788583,NE 82nd at Jonesmore,7,0,1,1,0,7
208,45.5446211,-122.667667,N Morris at Vancouver,3,4,1,1,4,8
209,45.53344,-122.55386,NE Halsey St at 106th,8,6,1,1,6,14
210,45.569917,-122.6744197,N Rosa Parks Way at Albina,5,0,1,1,0,5
211,45.5628283,-122.6093459,NE Killingsworth at NE 52nd,4,4,1,1,4,8
212,45.5092949,-122.6846036,Broadway Residence Hall,1,2,1,1,2,4
213,45.4976098,-122.5818846,SE 79th at Powell Blvd,3,3,1,1,3,6
214,45.519326,-122.5468687,SE 113th at Stark,5,0,1,1,0,5
215,45.5870144,-122.6951643,N Burrage Ave & N Houghton St,0,2,1,1,2,2
216,45.5616203,-122.6616835,NE Emerson at MLK Blvd,6,1,1,1,1,7
217,45.4990782,-122.6837991,Casey Eye Institute,5,1,1,1,1,6
218,45.5014076,-122.5788622,SE Woodward at 82nd Ave,7,0,1,1,0,7
219,45.5258454,-122.6814197,NW Flanders at 10th,0,5,1,1,5,5
