,reviews,rating,ebikes,total_bikes
2025,917,4.5,5,18
2026,242,4.0,5,18
2027,1099,4.0,5,18
2028,1151,4.0,5,18
2029,348,3.5,5,18
2030,26,5.0,5,18
2031,225,4.0,5,18
2032,873,4.0,5,18
2033,1784,4.0,5,18
2034,1689,3.5,5,18
2035,614,4.5,5,18
2036,631,4.5,5,18
2037,377,4.5,5,18
2038,588,4.0,5,18
2039,363,4.0,5,18
2040,929,3.5,5,18
2041,280,4.5,5,18
2042,241,4.0,5,18
2043,287,3.5,5,18
2044,503,4.5,3,5
2045,137,4.5,3,5
2046,684,4.0,3,5
2047,316,4.0,3,5
2048,165,4.5,3,5
2049,83,4.0,3,5
2050,135,4.0,3,5
2051,166,4.5,3,5
2052,361,4.0,3,5
2053,208,4.5,3,5
2054,157,4.0,3,5
2055,62,3.5,3,5
2056,336,4.0,3,5
2057,113,3.5,3,5
2058,122,3.5,3,5
2059,52,3.5,3,5
2060,4,3.5,3,5
2061,83,3.5,4,12
2062,95,3.5,4,12
2063,42,4.5,4,12
2064,341,4.5,4,12
2065,35,5.0,4,12
2066,55,4.5,4,12
2067,157,3.5,4,12
2068,92,3.0,4,12
2069,102,3.5,4,12
2070,135,4.0,4,12
2071,169,3.0,4,12
2072,225,2.5,4,12
2073,155,2.5,4,12
2074,191,2.5,4,12
2075,43,3.5,4,12
2076,61,3.0,4,12
2077,219,3.0,4,12
2078,35,3.0,4,12
2079,21,2.0,4,12
2080,97,2.0,4,12
2081,326,4.0,0,5
2082,352,4.0,0,5
2083,397,4.0,0,5
2084,1176,4.0,0,5
2085,69,4.0,0,5
2086,33,5.0,0,5
2087,126,4.5,0,5
2088,203,4.5,0,5
2089,67,3.5,0,5
2090,40,3.5,0,5
2091,49,4.0,0,5
2092,45,3.5,0,5
2093,95,2.0,0,5
2094,387,3.5,1,9
2095,106,4.5,1,9
2096,52,4.5,1,9
2097,236,4.5,1,9
2098,218,4.0,1,9
2099,102,4.0,1,9
2100,93,4.0,1,9
2101,40,4.5,1,9
2102,235,3.5,1,9
2103,42,3.0,1,9
2104,49,4.0,1,9
2105,5,1.0,1,9
2106,126,3.5,0,3
2107,127,3.0,0,3
2108,51,3.5,0,3
2109,83,4.0,0,3
2110,95,4.5,0,3
2111,120,4.0,0,3
2112,75,3.5,0,3
2113,17,3.5,0,3
2114,6,3.5,0,3
2115,95,3.5,0,9
2116,290,3.0,0,9
2117,102,3.5,0,9
2118,341,4.5,0,9
2119,256,3.5,0,9
2120,35,5.0,0,9
2121,225,2.5,0,9
